;year;violent;murder;robbery;prisoners;afam;cauc;male;population;income;density;state;law
468;1984;792.3;8.1;301.1;277;9.715.621;5.608.654;1.696.554;4.365.238;15049.59;0.4437571;Maryland;no
469;1985;834.6;7.9;302.2;285;9.815.696;5.551.143;1.658.506;4.413.075;15705.89;0.44862;Maryland;no
470;1986;833;9;304;279;9.923.585;5.497.762;162.491;4.486.957;16331.09;0.4561306;Maryland;no
471;1987;767.8;9.6;290.3;280;1.000.187;5.449.474;1.591.165;4.565.578;16852.43;0.464123;Maryland;no
472;1988;806.8;9.7;301.3;282;1.012.178;5.395.152;1.557.148;4.657.908;17367.09;0.473509;Maryland;no
473;1989;855.4;11.6;332.1;291;1.023.037;5.339.462;1.524.628;4.727.298;17666.8;0.480563;Maryland;no
474;1990;919;11.5;363.8;323;1.034.606;5.447.374;1.495.992;4.797.431;17543.53;0.4907858;Maryland;no
475;1991;956.2;11.7;407.1;348;104.767;5.390.336;1.456.282;4.856.176;17230.4;0.4967955;Maryland;no
476;1992;1000.1;12.1;429;366;1.063.593;5.336.663;1.423.175;4.902.545;17294.18;0.5015391;Maryland;no
477;1993;997.8;12.7;434.7;381;1.080.699;5.275.498;1.393.569;4.942.504;17296.66;0.505627;Maryland;no
478;1994;948;11.6;402.5;383;1.098.084;5.230.801;1.365.324;4.985.411;17502.91;0.5100165;Maryland;no
479;1995;986.9;11.8;423.1;395;1.113.262;5.192.822;1.345.126;502.365;17589.98;0.5139284;Maryland;no
480;1996;931.2;11.6;393.2;404;1.135.408;5.163.616;1.330.807;5.057.142;17680.94;0.5173547;Maryland;no
481;1997;846.6;9.9;336.8;412;115.277;5.132.299;1.324.866;5.092.914;18146.86;0.5210142;Maryland;no
482;1998;796.6;10;298.7;413;1.168.855;5.106.369;132.526;5.130.072;18843.85;0.5248156;Maryland;no
483;1999;743.4;9;263.7;418;1.185.378;5.083.417;1.330.775;5.171.634;19445.17;0.5290675;Maryland;no
484;1977;425.3;3.1;169.9;46;1.724.251;7.084.088;1.798.316;5.738.201;12553.58;0.7332227;Massachusetts;no
485;1978;462;3.7;172.3;48;1.768.283;709.734;1.790.687;573.647;12957.44;0.7330015;Massachusetts;no
486;1979;531.3;3.7;203.2;49;1.848.022;7.103.321;1.785.132;5.738.406;12995.58;0.7332489;Massachusetts;no
487;1980;601.3;4.1;235.5;50;1.959.807;7.091.966;1.780.774;5.746.075;12903.66;0.7344165;Massachusetts;no
488;1981;628.6;3.6;270.9;56;2.084.791;7.083.539;1.776.568;5.768.683;12965.68;0.7373061;Massachusetts;no
489;1982;571.4;3.8;213.8;65;2.199.134;7.054.771;1.762.825;5.771.226;13212.7;0.7376311;Massachusetts;no
490;1983;576.8;3.5;208.5;77;2.317.014;7.015.474;1.744.664;5.799.403;13859;0.7412325;Massachusetts;no
491;1984;523.7;3.6;174.6;79;2.424.114;6.982.819;1.720.547;5.840.772;14911.49;0.74652;Massachusetts;no
492;1985;538.2;3.5;188.5;84;2.532.588;6.940.924;1.693.458;5.880.743;15482.72;0.7516287;Massachusetts;no
493;1986;556.9;3.6;192.7;88;2.635.446;6.889.589;1.662.209;5.902.682;16320.18;0.7544328;Massachusetts;no
494;1987;564.6;3;177.3;92;2.732.558;684.094;1.626.856;5.935.209;17105.01;0.7585901;Massachusetts;no
495;1988;619.6;3.5;176.3;102;2.835.594;6.805.308;1.593.803;5.979.981;17963.23;0.7643125;Massachusetts;no
496;1989;675;4.3;202.6;109;2.935.843;6.752.338;1.557.111;6.015.479;18033.77;0.7688496;Massachusetts;no
497;1990;736.3;4;217.1;122;3.025.422;6.919.524;1.520.686;6.018.664;17695.93;0.7678826;Massachusetts;no
498;1991;736.1;4.2;194.6;132;3.097.413;684.557;1.480.334;5.998.652;17360.52;0.7653294;Massachusetts;no
499;1992;779;3.6;184.4;143;3.176.355;6.797.533;1.444.555;5.993.474;17661.96;0.7646688;Massachusetts;no
500;1993;804.9;3.9;175.7;161;3.254.629;6.748.496;1.412.593;6.010.884;17682.5;0.76689;Massachusetts;no
501;1994;707.6;3.5;168.2;154;3.325.291;672.147;1.382.065;6.031.352;18037.15;0.7695014;Massachusetts;no
502;1995;687.2;3.6;150.4;174;3.413.074;6.707.729;135.801;6.062.335;18345.35;0.7734544;Massachusetts;no
503;1996;642.2;2.6;127.7;170;3.489.323;6.697.061;1.338.832;6.085.393;18807.43;0.7763961;Massachusetts;no
504;1997;644.2;1.9;109.1;178;3.591.577;6.694.775;1.323.652;6.115.476;19455.93;0.7802343;Massachusetts;no
505;1998;621.3;2;96.6;278;3.675.831;6.697.878;1.313.072;6.144.407;20411.68;0.7839254;Massachusetts;no
506;1999;551;2;96;275;3.768.917;6.702.943;1.303.218;6.175.169;21245.15;0.7878501;Massachusetts;no
507;1977;584.7;9.3;261.9;137;4.589.848;6.494.021;1.870.428;917.111;13081.31;0.1614149;Michigan;no
508;1978;577.2;10.6;219.3;151;4.668.867;6.484.695;1.857.604;9.217.762;13498.35;0.162236;Michigan;no
509;1979;614.2;9.1;219.6;162;4.752.085;6.472.587;1.846.948;9.266.269;13309.77;0.1630897;Michigan;no
510;1980;639.5;10.2;244;163;49.121;6.453.066;1.839.734;9.255.553;12536.12;0.1625093;Michigan;no
511;1981;641.9;9.4;257.5;163;4.957.617;643.437;1.824.191;9.209.284;12193;0.1616969;Michigan;no
512;1982;656.6;9.1;271.1;165;5.008.369;6.404.739;1.798.322;9.115.202;11828.78;0.160045;Michigan;no
513;1983;716.7;10;285.3;162;5.053.564;6.367.474;1.768.139;9.047.753;12243;0.1588607;Michigan;no
514;1984;760.1;9.7;306.7;159;5.102.147;6.340.595;1.734.668;9.049.446;13019.38;0.1588904;Michigan;no
515;1985;734.1;11.2;292.4;161;5.158.282;6.311.989;1.700.113;9.076.297;13643.68;0.1593619;Michigan;no
516;1986;803.9;11.3;301.3;196;5.212.474;6.283.232;1.663.797;9.127.776;14155.86;0.1602658;Michigan;no
517;1987;780.1;12.2;276.5;227;5.270.267;6.252.574;16.251;9.187.485;14146.01;0.1613141;Michigan;no
518;1988;741.7;10.8;241.1;259;531.828;622.057;1.590.378;9.218;14480.72;0.1618499;Michigan;no
519;1989;709.2;10.7;222.3;298;5.376.304;6.178.036;1.554.663;925.329;14675.63;0.1624695;Michigan;no
520;1990;790.4;10.4;234;340;5.444.306;6.341.766;1.524.828;9.310.462;14494.76;0.1638906;Michigan;no
521;1991;803.1;10.8;243.3;366;5.481.307;6.324.012;1.499.776;9.395.022;14121.46;0.1653791;Michigan;no
522;1992;770.1;9.9;221.5;388;5.515.503;6.313.263;1.477.741;9.470.323;14397.38;0.1667046;Michigan;no
523;1993;791.5;9.8;238.5;413;5.555.154;6.294.234;1.459.414;952.924;14737.71;0.1677417;Michigan;no
524;1994;766.1;9.8;228.9;414;558.915;6.284.308;1.440.718;9.584.481;15363.26;0.1687141;Michigan;no
525;1995;687.8;8.5;187.3;427;5.636.846;6.277.747;1.430.214;9.659.871;15679.65;0.1700412;Michigan;no
526;1996;635.3;7.5;176.2;429;5.675.034;628.381;1.423.101;9.739.184;15523.84;0.1714374;Michigan;no
527;1997;590;7.8;152.8;440;5.724.264;6.285.872;1.417.415;978.545;15878.97;0.1722518;Michigan;no
528;1998;620.8;7.3;155.8;457;5.772.889;6.291.081;1.413.376;9.820.231;16376.02;0.172864;Michigan;no
529;1999;574.9;7;143;466;5.833.841;6.294.402;1.409.948;9.863.775;16806.19;0.1736305;Michigan;no
530;1977;193.8;2.7;85.9;41;0.9416787;7.122.099;1.870.508;3.989.365;12427;0.0503142;Minnesota;no
531;1978;189.6;2;85.1;44;0.9856448;7.118.407;1.856.497;4.015.341;12943.69;0.0506418;Minnesota;no
532;1979;221;2.3;92.5;49;1.027.376;7.114.611;1.843.942;4.050.317;12909.15;0.051083;Minnesota;no
533;1980;227.8;2.6;99.1;51;1.099.408;7.129.826;1.837.938;4.085.017;12476.88;0.0513529;Minnesota;no
534;1981;228.5;2.1;104.3;49;1.190.245;7.104.656;1.813.891;4.111.674;12406.72;0.051688;Minnesota;no
535;1982;219.3;2.3;101.3;49;1.267.281;7.061.434;1.778.386;4.131.444;12375.74;0.0519365;Minnesota;no
536;1983;190.9;1.7;79.6;50;1.337.603;701.346;1.740.413;4.141.438;12594;0.0520621;Minnesota;no
537;1984;211.5;1.8;71.1;52;1.411.142;6.976.175;1.701.439;4.157.698;13670.54;0.0522665;Minnesota;no
538;1985;256.4;2.1;85.8;52;1.491.174;6.945.553;1.665.161;4.184.286;13976.12;0.0526008;Minnesota;no
539;1986;284.6;2.5;102;56;1.569.578;691.105;1.627.346;4.205.208;14435.83;0.0528638;Minnesota;no
540;1987;285.4;2.6;102.5;58;1.646.392;6.882.535;1.589.751;423.514;14820.42;0.0532401;Minnesota;no
541;1988;290.1;2.9;94.7;60;1.725.913;6.866.412;1.559.573;4.296.162;14812.46;0.0540072;Minnesota;no
542;1989;288.3;2.5;94.8;64;1.809.225;6.840.837;1.529.385;4.338.045;15229.7;0.0545337;Minnesota;no
543;1990;306.1;2.7;92.7;71;1.883.991;7.015.536;1.504.357;4.387.283;15248.38;0.0551049;Minnesota;no
544;1991;316;3;98;72;1.938.506;7.020.422;1.480.302;4.427.429;14977.46;0.0556091;Minnesota;no
545;1992;338;3.3;109.5;78;2.038.956;7.013.239;1.462.573;4.471.503;15405.58;0.0561627;Minnesota;no
546;1993;353.9;3.4;112.7;85;2.126.541;7.017.619;144.791;4.521.709;15204.85;0.0567933;Minnesota;no
547;1994;359;3.2;117.6;92;2.215.273;7.019.733;1.434.696;4.566.028;15769.82;0.0573499;Minnesota;no
548;1995;356.1;3.9;123.7;100;2.314;7.028.978;1.429.538;4.605.445;16077.28;0.057845;Minnesota;no
549;1996;338.8;3.6;115.6;105;2.393.086;7.042.294;1.428.865;4.647.723;16679.54;0.058376;Minnesota;no
550;1997;337.8;2.8;114.7;110;2.492.936;7.042.054;1.430.564;4.687.726;17091.78;0.0588785;Minnesota;no
551;1998;310.2;2.6;92.5;113;2.597.933;7.036.256;1.434.353;4.726.411;18008.61;0.0593643;Minnesota;no
552;1999;274;2.8;82;117;270.455;7.039.762;1.437.508;4.775.508;18383.72;0.059981;Minnesota;no
553;1977;288.7;14.3;65.7;91;1.130.086;471.701;1.866.394;2.459.202;8.645.796;0.051996;Mississippi;no
554;1978;321.2;12.6;70.2;67;1.124.283;4.724.821;1.849.264;2.487.817;8.871.568;0.052601;Mississippi;no
555;1979;323.6;12.6;70.7;110;1.120.169;4.729.527;1.831.144;2.507.067;8.985.228;0.053008;Mississippi;no
556;1980;341.9;14.5;81;141;1.127.336;471.011;1.816.803;2.525.342;8.554.884;0.0534656;Mississippi;no
557;1981;304.6;12.6;81.4;132;1.136.708;4.706.833;1.812.535;2.539.051;8.659.495;0.0537559;Mississippi;no
558;1982;294.6;14;73;177;1.142.994;4.695.921;1.800.418;2.556.768;8.566.631;0.054131;Mississippi;no
559;1983;280.4;11.2;63.8;210;1.146.199;4.682.973;1.784.062;256.773;8615;0.0543631;Mississippi;no
560;1984;282;9.7;60.5;211;1.152.065;4.661.835;1.764.359;2.578.058;9.075.017;0.0545817;Mississippi;no
561;1985;270.9;10.6;62.6;229;1.152.669;4.647.882;1.739.784;2.588.097;9.187.772;0.0547943;Mississippi;no
562;1986;274.1;11.2;64.6;237;1.156.171;4.641.185;1.717.962;2.593.596;9.356.337;0.0549107;Mississippi;no
563;1987;269.8;10.2;57;249;1.161.095;4.635.433;1.691.101;2.588.539;9.570.701;0.0548036;Mississippi;no
564;1988;325.2;8.6;77.2;256;1.166.387;4.627.898;1.661.277;2.580.353;9847.19;0.0546303;Mississippi;no
565;1989;311.2;9.7;78.3;277;1.173.186;4.619.701;1.632.527;2.574.273;10069.62;0.0545016;Mississippi;no
566;1990;340.4;12.2;86.2;293;1.190.866;4.801.193;1.605.819;2.577.426;10030.97;0.0549394;Mississippi;no
567;1991;389.1;12.8;116.3;307;1.205.501;478.049;1.593.869;259.123;10092.19;0.0552336;Mississippi;yes
568;1992;411.7;12.2;124.5;330;1.217.902;4.748.308;1.583.059;2.610.193;10444.81;0.0556378;Mississippi;yes
569;1993;433.9;13.5;139.3;327;1.233.781;4.734.798;1.577.615;2.635.574;10657.45;0.0561788;Mississippi;yes
570;1994;493.7;15.3;162.5;361;1.243.913;47.248;1.565.988;266.345;11120.93;0.056773;Mississippi;yes
571;1995;502.8;12.9;130.9;395;1.254.986;4.720.134;1.557.741;2.690.788;11238.99;0.0573558;Mississippi;yes
572;1996;488.3;11.1;134.2;452;1.266.153;4.711.795;1.550.349;2.709.925;11457.94;0.0577637;Mississippi;yes
573;1997;469;13.1;137;482;127.257;4.701.833;154.049;2.731.826;11729.45;0.0582305;Mississippi;yes
574;1998;410.7;11.4;123.3;531;1.279.877;4.703.033;1.528.058;2.751.335;12209;0.0586464;Mississippi;yes
575;1999;349.3;7.7;111.6;574;1.289.336;470.393;151.223;2.768.619;12370.23;0.0590148;Mississippi;yes
576;1977;460.4;9.6;189;105;3.646.178;6.435.242;1.750.104;4.863.175;11493.2;0.0704859;Missouri;no
577;1978;467.9;10.4;184;111;3.677.466;6.430.529;1.735.882;48.894;11898.54;0.070866;Missouri;no
578;1979;527.2;11.2;210.9;116;3.722.172;64.122;1.722.153;4.912.428;11954.24;0.0711998;Missouri;no
579;1980;554.5;11.1;223.6;113;3.830.339;6.424.608;1.721.838;4.921.966;11352.51;0.0713897;Missouri;no
580;1981;540.2;10.4;215.2;112;3.873.377;6.413.373;1.712.898;4.932.079;11460.87;0.0715364;Missouri;no
581;1982;506.5;9.7;193;131;3.895.451;6.391.703;1.692.983;4.929.442;11388.12;0.0714982;Missouri;no
582;1983;477.2;8.1;167.9;147;3.912.676;6.374.535;1.664.394;4.943.727;11716;0.0717054;Missouri;no
583;1984;460.7;7.1;140.8;162;3.934.932;6.353.048;1.638.307;4.975.283;12428.64;0.0721631;Missouri;no
584;1985;503.5;8.1;147.6;175;3.965.899;6.332.874;1.611.904;5.000.254;12841.77;0.0725253;Missouri;no
585;1986;578.6;9.2;170.2;194;3.993.655;6.310.036;1.581.932;5.023.068;13185.04;0.0728562;Missouri;no
586;1987;544.6;8.3;164.1;203;4.012.938;62.981;155.254;5.056.695;13374.25;0.0733439;Missouri;no
587;1988;552.5;8;168.1;218;40.438;6.286.436;1.526.476;508.173;13544.41;0.073707;Missouri;no
588;1989;632.6;7.9;195;236;4.068.688;626.871;1.500.173;5.095.819;13717.65;0.0739114;Missouri;no
589;1990;715.3;8.8;216.4;269;4.106.727;6.476.237;1.475.709;512.637;13526.26;0.0744052;Missouri;no
590;1991;763;10.5;251.1;287;4.134.636;6.469.089;14.549;515.777;13567.36;0.074861;Missouri;no
591;1992;740.4;10.5;226.9;305;4.179.498;6.461.243;1.439.402;5.193.686;13874.82;0.0753822;Missouri;no
592;1993;744.4;11.3;241.8;311;4.216.366;6.460.291;1.424.835;5.237.757;13983.26;0.0760219;Missouri;no
593;1994;743.5;10.5;230.7;308;4.260.201;6.467.593;1.411.159;5.281.206;14291.42;0.0766525;Missouri;no
594;1995;663.8;8.8;204;338;4.286.511;647.411;140.522;532.461;14449.48;0.0772825;Missouri;no
595;1996;590.9;8.1;170.6;358;4.333.734;647.839;1.405.027;5.367.888;14667.86;0.0779107;Missouri;no
596;1997;577.4;7.9;156.1;409;4.383.485;6.483.846;1.404.587;5.407.113;15061.73;0.07848;Missouri;no
597;1998;555.7;7.3;149.2;442;4.413.081;6.495.696;1.403.186;5.437.562;15546.28;0.0789219;Missouri;no
598;1999;500.2;6.6;130.7;457;4.451.169;6.511.991;140.275;5.468.338;15789.59;0.0793686;Missouri;no
599;1977;218;5.4;39.2;73;1.878.684;7.030.823;1.886.554;0.769954;10909.58;0.0052886;Montana;no
600;1978;237.6;4.8;36.8;81;1.917.767;7.022.367;1.867.187;0.782316;11797.69;0.0053735;Montana;no
601;1979;224.2;4.2;33.1;87;1.935.456;7.005.479;1.847.104;0.787308;11386.23;0.0054078;Montana;no
602;1980;222.6;4;34;96;1.996.699;6.950.651;1.818.962;0.788752;11053.89;0.0054252;Montana;no
603;1981;253;3.4;38.1;94;2.006.873;6.926.559;1.782.497;0.795317;11227.42;0.0054703;Montana;no
604;1982;224.8;3.9;33.1;104;2.038.085;6.882.399;1.737.447;0.80399;11013.5;0.00553;Montana;no
605;1983;212.6;3.7;23.5;114;2.075.973;6.835.551;168.837;0.814028;11045;0.005599;Montana;no
606;1984;237.6;4.4;27.4;104;212.147;6.786.086;1.640.055;0.820893;11225.09;0.0056462;Montana;no
607;1985;208.5;5.8;20.9;121;2.161.607;6.742.729;1.596.853;0.822305;11019.4;0.0056559;Montana;no
608;1986;157.4;2.9;19.5;136;2.210.021;6.700.379;1.551.819;0.813748;11330.68;0.0055971;Montana;no
609;1987;151.2;4.1;24.2;135;2.274.105;6.664.787;1.511.905;0.805064;11397.49;0.0055373;Montana;no
610;1988;123;2.6;22.6;147;2.349.055;6.635.466;1.475.005;0.800194;11250.8;0.0055039;Montana;no
611;1989;116;2.9;17;158;2.441.468;661.925;1.448.098;0.799642;11742.27;0.0055001;Montana;no
612;1990;159.3;4.9;21.7;165;2.508.052;6.823.551;1.424.213;0.799824;11829.29;0.005495;Montana;no
613;1991;139.9;2.6;18.6;176;2.550.886;6.846.097;1.415.545;0.807837;12068.08;0.00555;Montana;no
614;1992;169.9;2.9;26.9;183;2.534.665;687.589;1.415.539;0.822436;12150.94;0.0056503;Montana;yes
615;1993;177.5;3;32.4;180;2.548.829;6.912.568;1.422.258;0.839876;12451.61;0.0057701;Montana;yes
616;1994;177.1;3.3;32.7;182;2.589.824;6.945.094;1.424.397;0.854923;12182.69;0.0058735;Montana;yes
617;1995;171.4;4;29.1;204;2.634.821;6.994.066;1.428.058;0.868522;12271.66;0.0059669;Montana;yes
618;1996;161;3.9;29.7;228;2.675.736;7.026.747;1.432.124;0.876656;12308.2;0.0060228;Montana;yes
619;1997;132.1;4.8;20.4;259;271.069;7.051.744;1.433.813;0.878706;12527.43;0.0060369;Montana;yes
620;1998;138.8;4.1;19.9;255;2.760.783;7.057.711;1.437.217;0.879533;13018.58;0.0060426;Montana;yes
621;1999;206.5;2.6;25.8;310;283.038;7.073.254;1.436.011;0.882779;13154.21;0.0060649;Montana;yes
622;1977;199.4;3.9;64.7;93;1.399.435;6.876.288;1.813.208;1.556.843;11496.49;0.0203554;Nebraska;no
623;1978;190.5;3;64.9;83;1.440.068;6.861.212;1.796.054;1.563.884;12407.36;0.0204475;Nebraska;no
624;1979;225.9;4.1;73.5;80;1.470.194;6.848.695;1.781.141;1.567.344;12051.65;0.0204927;Nebraska;no
625;1980;224.6;4.4;82.2;71;151.918;6.848.768;1.770.309;1.572.296;11209.85;0.0205143;Nebraska;no
626;1981;181.5;3.1;70.7;89;1.552.206;6.836.901;1.748.889;1.578.528;11710.76;0.0205956;Nebraska;no
627;1982;229.6;2;61.9;104;1.580.871;6.811.826;1.720.726;1.581.786;11587.3;0.0206381;Nebraska;no
628;1983;217.7;2.6;49.8;99;1.609.164;678.284;1.688.158;1.584.301;11601;0.0206709;Nebraska;no
629;1984;225.8;3.4;43.2;91;1.645.192;6.758.923;1.658.273;1.588.629;12436.31;0.0207274;Nebraska;no
630;1985;237.9;2.9;48.5;95;1.690.266;6.731.978;1.626.681;1.584.662;12726.02;0.0206756;Nebraska;no
631;1986;262.6;3.1;51.1;108;1.731.587;6.695.992;1.592.627;1.574.336;12921.43;0.0205409;Nebraska;no
632;1987;251.2;3.5;47.1;116;1.773.251;6.674.837;1.561.155;1.566.558;13185.69;0.0204394;Nebraska;no
633;1988;273.2;3.6;56.1;123;1.821.041;6.665.886;1.533.023;1.571.464;13458.53;0.0205034;Nebraska;no
634;1989;279.5;2.5;52;129;1.872.395;6.645.169;1.507.181;1.574.881;13553.03;0.020548;Nebraska;no
635;1990;330;2.7;51.1;141;1.924.887;6.857.947;1.486.603;1.580.664;13783.06;0.0205607;Nebraska;no
636;1991;334.6;3.3;54;140;194.191;6.871.162;147.431;1.590.805;13717.95;0.0206926;Nebraska;no
637;1992;348.6;4.2;56.7;145;1.997.059;6.894.002;1.463.668;1.602.406;13978.48;0.0208435;Nebraska;no
638;1993;377.8;3.9;62.4;151;2.045.469;6.901.521;1.455.635;1.612.149;13895.06;0.0209702;Nebraska;no
639;1994;389.5;3.1;75.4;153;2.102.617;6.906.844;1.450.556;1.621.551;14224.9;0.0210925;Nebraska;no
640;1995;382;2.9;65.2;164;2.159.873;6.922.701;1.451.073;1.635.142;14516.18;0.0212693;Nebraska;no
641;1996;435;2.9;63.7;183;2.215.449;6.932.784;1.455.224;1.647.657;15268.57;0.0214321;Nebraska;no
642;1997;438.4;3;66.2;194;2.262.563;6.934.474;1.458.731;1.656.042;15271.01;0.0215412;Nebraska;no
643;1998;451.4;3.1;77.6;200;2.292.488;693.675;1.462.338;1.660.772;15809.01;0.0216027;Nebraska;no
644;1999;430.2;3.6;75.9;215;2.352.001;6.941.042;1.463.403;1.666.028;16174.11;0.0216711;Nebraska;no
645;1977;743;15.8;323.1;156;3.681.372;703.189;1.848.337;0.678334;14056.2;0.0061729;Nevada;no
646;1978;780.8;15.5;359.5;187;3.747.658;703.098;1.834.993;0.719436;14943.84;0.0065469;Nevada;no
647;1979;835.6;17.5;407.5;204;3.830.988;7.028.146;1.824.282;0.765364;14769.58;0.0069649;Nevada;no
648;1980;912.6;20;460.6;224;3.977.586;7.001.524;1.814.704;0.810215;14242.02;0.0073727;Nevada;no
649;1981;896.4;17.5;458;230;4.061.517;6.968.533;1.800.472;0.847639;14006.88;0.0077132;Nevada;no
650;1982;805.4;13.6;419.6;245;4.136.034;692.001;1.775.632;0.881545;13401.55;0.0080218;Nevada;no
651;1983;655.2;12.8;307.2;301;4.199.899;6.861.285;1.745.294;0.901974;13465;0.0082077;Nevada;no
652;1984;628.5;10.8;279;354;4.256.437;6.818.571;1.698.045;0.924905;13843.16;0.0084163;Nevada;no
653;1985;667.1;10.3;274.9;380;4.310.617;6.763.983;1.657.308;0.951024;14197.43;0.008654;Nevada;no
654;1986;718.9;12.6;286.9;397;4.365.152;6.712.231;1.616.566;0.980653;14568.54;0.0089236;Nevada;no
655;1987;695.7;8.4;272.5;447;4.434.161;666.797;1.580.097;1.023.418;14809.02;0.0093128;Nevada;no
656;1988;780.7;10.5;291.2;432;4.494.771;6.614.903;154.424;1.075.027;15307.56;0.0097824;Nevada;no
657;1989;625.3;8.2;250.6;452;457.811;6.582.648;1.529.187;1.137.369;15713.1;0.0103497;Nevada;no
658;1990;600.9;9.7;238.3;438;465.039;6.668.157;1.512.199;1.218.629;15753.59;0.011098;Nevada;no
659;1991;677;11.8;312.5;444;4.765.588;6.665.909;1.474.476;1.285.046;15557.87;0.0117029;Nevada;no
660;1992;696.8;10.9;331.3;439;4.861.448;6.616.871;1.442.518;1.330.694;16112.74;0.0121186;Nevada;no
661;1993;875.2;10.4;340.1;448;4.925.167;6.553.869;1.413.233;1.380.197;16167.39;0.0125694;Nevada;no
662;1994;1001.9;11.7;352.4;434;5.034.716;6.517.899;1.390.756;1.456.388;16554.72;0.0132633;Nevada;no
663;1995;945.2;10.7;324.6;468;5.145.968;649.338;1.371.655;1.525.777;16878.43;0.0138952;Nevada;no
664;1996;811.3;13.7;307.6;493;520.202;6.462.309;1.359.839;1.596.476;17235.17;0.0145391;Nevada;yes
665;1997;798.7;11.2;302.4;515;5.310.158;6.446.743;1.355.572;1.675.581;17514.68;0.0152595;Nevada;yes
666;1998;643.6;9.7;254.9;518;5.434.025;6.402.489;1.357.494;1.743.772;18210.24;0.0158805;Nevada;yes
667;1999;570;9.1;232.7;542;5.589.821;6.363.499;1.365.448;1.809.253;18540.39;0.0164768;Nevada;yes
668;1977;113.1;3.2;23.2;30;0.3582589;7.357.484;1.831.558;0.869762;11330.45;0.0963512;New Hampshire;yes
669;1978;118.8;1.4;26.3;26;0.3796886;7.385.667;1.816.437;0.89152;11897.01;0.0987615;New Hampshire;yes
670;1979;139.9;2.4;28.6;32;0.397987;7.408.883;1.802.998;0.909075;12047.53;0.1007062;New Hampshire;yes
671;1980;179.8;2.5;42;35;0.419908;739.855;1.781.628;0.92425;11987.24;0.1027744;New Hampshire;yes
672;1981;147.1;2.9;35.8;35;0.4623955;7.405.631;1.762.687;0.936644;12142.58;0.1041526;New Hampshire;yes
673;1982;124.8;2.2;33.9;42;0.4946624;7.392.619;173.786;0.947717;12286.99;0.1053839;New Hampshire;yes
674;1983;125.1;2;24.1;47;0.5260274;7.381.657;1.711.249;0.958125;13041;0.1065412;New Hampshire;yes
675;1984;133.9;1;23.2;50;0.5568841;7.376.155;1.681.933;0.976864;13938.11;0.1086249;New Hampshire;yes
676;1985;140.8;2.1;26.7;57;0.5881072;736.675;1.651.476;0.996757;14648.39;0.110837;New Hampshire;yes
677;1986;139.5;2.2;23.6;68;0.6166499;7.346.386;1.622.557;1.025.055;15429.37;0.1139837;New Hampshire;yes
678;1987;149.6;3;26.5;76;0.6424271;7.337.527;1.588.103;1.054.283;16111.37;0.1172337;New Hampshire;yes
679;1988;147.9;2.3;21.1;81;0.6654498;7.311.699;1.557.323;1.082.576;16637.08;0.1203799;New Hampshire;yes
680;1989;168.5;3.3;23.8;93;0.6910675;7.284.719;1.524.296;1.104.523;16569.9;0.1228203;New Hampshire;yes
681;1990;131.5;1.9;27.2;103;0.717645;746.099;1.482.707;1.111.831;15783.31;0.1239638;New Hampshire;yes
682;1991;119.3;3.6;33;117;0.6962617;7.420.372;1.434.482;1.107.055;15589.31;0.1234313;New Hampshire;yes
683;1992;125.7;1.6;33;132;0.7179407;7.396.066;1.405.336;1.112.766;15729.34;0.124068;New Hampshire;yes
684;1993;137.8;2;27.3;160;0.7427434;7.387.815;1.381.806;1.122.191;15516.97;0.1251189;New Hampshire;yes
685;1994;116.8;1.4;27.1;157;0.7748086;7.381.678;1.360.288;1.133.054;16007.04;0.12633;New Hampshire;yes
686;1995;114.5;1.8;27.4;177;0.8078708;7.395.155;1.348.302;1.145.604;16355.23;0.1277293;New Hampshire;yes
687;1996;118.2;1.7;27.3;174;0.8588279;7.415.676;1.344.257;1.160.768;16536.67;0.12942;New Hampshire;yes
688;1997;113.2;1.4;23.4;176;0.8758659;743.932;1.346.563;1.173.239;17147.67;0.1308105;New Hampshire;yes
689;1998;107.2;1.5;21.5;184;0.8967611;7.450.977;1.351.686;1.185.823;18083.16;0.1322135;New Hampshire;yes
690;1999;96.5;1.5;21.4;182;0.9426925;7.465.687;1.354.528;1.201.134;18732.35;0.1339206;New Hampshire;yes
691;1977;392;5.6;180.4;78;4.657.897;6.503.551;1.701.148;7.337.173;13911.53;0.9755582;New Jersey;no
692;1978;423.5;5.4;192.6;78;4.769.043;648.823;1.689.076;7.350.804;14375.42;0.9773706;New Jersey;no
693;1979;501.2;6.6;250;74;489.978;6.469.986;1.681.398;7.366.514;14363.47;0.9794593;New Jersey;no
694;1980;604.4;6.9;303.7;76;508.635;6.431.933;1.671.811;737.633;14239.6;0.987725;New Jersey;no
695;1981;630.6;7.3;334.6;76;5.260.983;6.417.092;1.668.408;7.407.475;14310.47;0.9918954;New Jersey;no
696;1982;607.4;6.5;307.6;92;5.417.356;6.382.298;1.655.094;7.430.968;14446.97;0.9950413;New Jersey;no
697;1983;553.1;5.3;269;107;5.558.231;6.340.572;1.634.391;7.467.789;15036;0.9999717;New Jersey;no
698;1984;527.7;5.3;242.4;136;570.021;6.298.526;1.613.712;7.515.478;15870.49;1.006.358;New Jersey;no
699;1985;544.5;5.4;255;138;5.838.079;6.248.153;1.589.796;7.565.519;16345.75;1.013.058;New Jersey;no
